Price_Billion,Price_Per_m2,Area_m2,District,Ward,Bedrooms,Is_MatTien,Width_m,Floors,Is Hem,Post Time,Toilets,Post_Time
6.45,12.06,535,Quận 12,Thạnh Xuân,4,0,7,6,1,24/12/2025,5,12/24/2025
14.9,52.84,282,Tân Bình,12,4,1,4,3,0,24/12/2025,4,12/24/2025
7.1,202.86,35,Quận 10,2,4,0,3.4,3,1,24/12/2025,3,12/24/2025
12.6,80.77,156,Quận 12,Đông Hưng Thuận,1,1,6.4,1,0,24/12/2025,1,12/24/2025
20,162.6,123,Quận 12,Trung Mỹ Tây,5,1,5.36,4.5,0,24/12/2025,5,12/24/2025
6,120,50,Quận 8,16,4,1,4,3,0,17/12/2025,5,12/17/2025
6.95,112.1,62,Quận 12,Trung Mỹ Tây,4,0,4,5,1,17/12/2025,5,12/17/2025
15.5,215.28,72,Tân Bình,13,4,1,4,3.5,0,17/12/2025,6,12/17/2025
13.6,97.14,140,Bình Chánh,Bình Chánh,8,0,7,4,1,17/12/2025,8,12/17/2025
7.7,128.33,60,Nhà Bè,Nhà Bè,4,0,4.5,3.5,1,17/12/2025,3,12/17/2025
15.6,156,100,Tân Bình,5,5,1,5,4,0,17/12/2025,6,12/17/2025
5.5,54.46,101,Nhà Bè,Phú Xuân,2,0,4.45,1,1,17/12/2025,1,12/17/2025
7.49,111.79,67,Nhà Bè,Thị trấn Nhà Bè,4,1,5,3.5,0,17/12/2025,5,12/17/2025
3.48,124.29,28,Quận 8,10,2,0,3.2,2,1,17/12/2025,2,12/17/2025
63,183.14,344,Quận 9,Tăng Nhơn Phú B,6,1,8,2,0,17/12/2025,4,12/17/2025
