Price_Billion,Area_m2,District,Ward,Floors,Bedrooms,Toilets,Post_Time
10.6,110,Quận Gò Vấp,Phường 11,3,0,0,31/12/2025
7.25,46,Quận Gò Vấp,Phường 10,3,3,0,31/12/2025
3.55,56,Thành phố Thủ Đức,Phường Tam Bình,3,0,0,31/12/2025
6.1,50,Quận Gò Vấp,Phường 16,1,4,0,31/12/2025
7.5,56,Quận Gò Vấp,Phường 3,1,0,0,31/12/2025
8.5,76,Thành phố Thủ Đức,Phường Trường Thọ,3,4,5,31/12/2025
6.8,50,Thành phố Thủ Đức,Phường Hiệp Bình Chánh,3,2,0,31/12/2025
7.48,60,Quận Gò Vấp,Phường 9,2,4,0,31/12/2025
9.85,60,Quận Gò Vấp,Phường 1,1,5,5,31/12/2025
12.99,120,Quận Gò Vấp,Phường 3,1,0,0,31/12/2025
7.3,46,Quận Gò Vấp,Phường 10,5,3,0,31/12/2025
6.1,64,Thành phố Thủ Đức,Phường Linh Tây,2,0,0,31/12/2025
9.85,60,Quận Gò Vấp,Phường 3,4,5,5,31/12/2025
6.65,56,Quận Gò Vấp,Phường 6,1,4,0,31/12/2025
7.2,64,Thành phố Thủ Đức,Đường D1,3,0,0,31/12/2025
7.45,56,Quận Gò Vấp,Phường 5,3,0,0,31/12/2025
8,69,Thành phố Thủ Đức,Phường Linh Đông,3,0,0,31/12/2025
7.8,76,Thành phố Thủ Đức,Đường D1,1,0,0,31/12/2025
8.4,78,Quận Gò Vấp,Phường 5,5,5,0,31/12/2025
4,45,Thành phố Thủ Đức,Phường Hiệp Bình Chánh,1,0,0,31/12/2025
9.5,97,Thành phố Thủ Đức,Phường Linh Đông,2,0,0,31/12/2025
6.5,32,Quận 10,Phường 15,4,0,0,31/12/2025
9.57,86,Thành phố Thủ Đức,Phường Phước Long A,2,0,0,31/12/2025
9.8,224,Thành phố Thủ Đức,Phường Long Thạnh Mỹ,2,0,0,31/12/2025
3.099,62,Quận Phú Nhuận,Phường 4,5,3,0,31/12/2025
2.55,30,Quận Gò Vấp,Phường 10,2,0,0,31/12/2025
3.9,60,Quận Bình Thạnh,Phường 7,1,0,2,31/12/2025
3.95,56,Quận Phú Nhuận,Phường 5,3,0,0,31/12/2025
3.05,72,Quận Bình Thạnh,Phường 5,3,4,0,31/12/2025
3.45,35,Quận Bình Thạnh,Phường 11,2,4,0,31/12/2025
3.95,122,Quận Gò Vấp,Phường 11,4,2,0,31/12/2025
3.6,36,Quận Phú Nhuận,Phường 1,1,0,0,31/12/2025
3.65,30,Quận Tân Bình,Phường 10,3,3,3,31/12/2025
7.49,44,Quận Bình Thạnh,Phường 5,1,0,0,31/12/2025
3.4,30,Quận Bình Tân,Phường Bình Trị Đông,4,0,0,31/12/2025
7.4,72,Quận Bình Thạnh,Phường 11,4,4,0,31/12/2025
3.3,65,Quận Gò Vấp,Phường 10,4,0,0,31/12/2025
6.8,36,Quận Bình Thạnh,Phường 11,2,5,3,31/12/2025
2.75,30,Quận Gò Vấp,Phường 10,2,0,0,31/12/2025
3.2,24,Quận Tân Phú,Phường Phú Trung,2,0,0,31/12/2025
5.68,56,Quận Tân Phú,Phường Tân Sơn Nhì,1,0,0,31/12/2025
2.95,64,Quận Gò Vấp,Phường 10,2,2,0,31/12/2025
3.8,70,Quận Bình Thạnh,Phường 12,6,0,0,31/12/2025
