Price_Billion,Price_Per_m2,Area_m2,District,Ward,Bedrooms,Is_MatTien,Width_m,Floors,Is Hem,Post Time,Toilets
5.4,100,54,Quận 4,15,4,1,3.9,4,0,21/12/2025,4
2.2,36.67,60,Quận 4,15,3,1,6,3,0,22/12/2025,3
4.19,59.35,70.6,Quận 4,13,4,0,4.8,3.5,1,21/12/2025,4
7.2,144,50,Quận 4,2,3,0,4,1,1,21/12/2025,3
3.58,47.73,75,Quận 4,13,3,0,5,3,1,21/12/2025,3
4.95,123.75,40,Quận 4,3,3,1,3.7,2.5,0,21/12/2025,3
3.55,59.17,60,Quận 4,13,3,0,5,2.5,1,21/12/2025,3
3.42,50.67,67.5,Quận 4,4,4,1,4.5,3,0,21/12/2025,4
17.5,282.26,62,Quận 4,2,5,1,30,4,0,21/12/2025,5
4.28,71.57,59.8,Quận 4,13,4,0,4.5,3,1,21/12/2025,4
2.2,47.93,45.9,Quận 4,13,4,0,4,3,1,21/12/2025,4
3.8,168.14,22.6,Quận 4,4,2,1,2.88,3,0,21/12/2025,2
9.8,245,40,Quận 4,4,2,1,4,2,0,21/12/2025,2
6.35,158.75,40,Quận 4,4,5,1,3.8,4.5,0,21/12/2025,5
3.3,167.51,19.7,Quận 4,8,2,0,3.11,3,1,21/12/2025,2
8.3,123.15,67.4,Quận 4,13,8,0,5.46,3,1,21/12/2025,4
8.3,123.15,67.4,Quận 4,13,4,0,6.3,4,1,20/12/2025,4
12.9,74.61,172.9,Quận 4,13,3,1,10.3,1,0,20/12/2025,3
5.89,110.71,53.2,Quận 4,14,3,1,5.45,2,0,20/12/2025,3
4.25,103.66,41,Quận 4,13,3,0,3.5,3.5,1,20/12/2025,3
3,100,30,Quận 4,8,2,0,3,2,1,20/12/2025,2
8,152.38,52.5,Quận 4,16,4,1,3.6,4,0,20/12/2025,4
4.7,195.83,24,Quận 4,10,4,0,3,4,1,20/12/2025,4
8.3,122.96,67.5,Quận 4,4,4,1,6,1,0,20/12/2025,3
4.5,100,45,Quận 4,4,2,0,3,1,1,20/12/2025,2
5,104.17,48,Quận 4,13,3,0,4,2.5,1,20/12/2025,3
3.35,46.53,72,Quận 4,2,3,1,4.5,3,0,20/12/2025,3
6,100,60,Quận 4,15,3,0,4,3.5,1,20/12/2025,3
9.5,237.5,40,Quận 4,4,2,1,4,2,0,20/12/2025,2
5.19,91.05,57,Quận 4,8,5,0,4,5.5,1,20/12/2025,4
3.49,136.86,25.5,Quận 4,13,2,0,4,2,1,20/12/2025,2
4.8,230.77,20.8,Quận 4,16,3,1,2.7,4,0,20/12/2025,3
2.15,37.07,58,Quận 4,13,3,0,3,2,1,20/12/2025,3
4.95,126.92,39,Quận 4,13,2,1,4,2,0,20/12/2025,2
4.95,127.25,38.9,Quận 4,2,2,0,6,2,1,20/12/2025,2
48,533.33,90,Quận 4,2,3,1,6,4,0,20/12/2025,3
1.9,180.95,10.5,Quận 4,13,2,0,2.6,3,1,20/12/2025,2
32,640,50,Quận 4,6,3,1,6,4,0,20/12/2025,3
29,322.22,90,Quận 4,13,3,1,4.3,4,0,20/12/2025,3
12,190.48,63,Quận 4,13,2,1,3.2,2,0,20/12/2025,2
5.2,235.29,22.1,Quận 4,1,3,0,3.2,2,1,20/12/2025,3
9.5,292.31,32.5,Quận 4,8,4,1,3.25,4.5,0,19/12/2025,4
12.9,268.75,48,Quận 4,13,4,1,4,3,0,19/12/2025,4
4.7,195.83,24,Quận 4,10,4,1,3,4,0,19/12/2025,4
12.5,138.89,90,Quận 4,13,4,0,5,4,1,19/12/2025,4
6.34,162.56,39,Quận 4,3,3,0,3.2,4.5,1,19/12/2025,3
6.9,160.47,43,Quận 4,8,3,1,3.7,2.5,0,19/12/2025,3
2.9,42.65,68,Quận 4,16,3,0,4,6,1,19/12/2025,3
90,434.78,207,Quận 4,13,3,1,12,7,0,19/12/2025,3
8.53,179.2,47.6,Quận 4,4,3,0,6.5,6,1,19/12/2025,3
3.15,121.15,26,Quận 4,8,3,0,4.8,3,1,19/12/2025,3
23.5,138.24,170,Quận 4,13,3,0,12,3,1,19/12/2025,3
1.5,55.56,27,Quận 4,6,3,1,3,1,0,19/12/2025,3
23.5,137.43,171,Quận 4,13,4,1,12,3.5,0,19/12/2025,4
17.5,216.05,81,Quận 11,12,3,1,5,3.5,0,05/01/2026,3
3.2,152.38,21,Quận 11,3,2,1,10,2,0,05/01/2026,2
3.25,51.59,63,Quận 11,2,4,0,4.5,4,1,05/01/2026,4
3.15,52.5,60,Quận 11,8,4,0,4,1,1,04/01/2026,4
1.7,28.33,60,Quận 11,11,4,0,7,1,1,30/12/2025,4
2.85,50.89,56,Quận 11,8,4,1,6,1,0,29/12/2025,4
9.8,233.33,42,Quận 11,5,4,1,6,5,0,29/12/2025,4
6,66.3,90.5,Quận 11,5,4,1,7.5,1,0,26/12/2025,4
6,92.59,64.8,Quận 11,11,4,1,3.6,2,0,23/12/2025,4
5.6,84.85,66,Quận 11,4,4,1,4,1,0,23/12/2025,4
2,50,40,Quận 11,15,4,0,3,3,1,19/12/2025,4
